Date,Close/Last,Volume,Open,High,Low
10/24/2022,$282.45,13326420,$290.23,$290.49,$280.36
10/21/2022,$289.57,24889060,$268.95,$290.75,$265.68
10/20/2022,$268.16,17207100,$272.78,$278.3755,$266.38
10/19/2022,$272.38,46685260,$265,$279.3,$262.66
10/18/2022,$240.86,25776730,$249.8,$250.37,$237.73
10/17/2022,$245.1,21057820,$234.41,$249.9221,$234.4
10/14/2022,$230,15293400,$237.8,$238.8,$229.51
10/13/2022,$232.51,17505010,$212.69,$234.47,$211.73
10/12/2022,$220.87,12952640,$214.3,$223.67,$212.64
10/11/2022,$214.29,15282410,$226.05,$230.44,$213.7
10/10/2022,$229.98,9991145,$225.64,$233.83,$224.23
10/07/2022,$224.75,9806128,$235.77,$237.33,$224.28
10/06/2022,$240.02,9188940,$236.68,$244.28,$233.9101
10/05/2022,$236.73,10825630,$238.76,$241.59,$227.38
10/04/2022,$240.74,13925850,$244.84,$245.7999,$233.25
10/03/2022,$239.04,8657443,$237.85,$241.54,$232.85
09/30/2022,$235.44,11848610,$237,$242.44,$233.26
09/29/2022,$239.71,18994940,$241.61,$246.98,$235.68
09/28/2022,$245.2,17579670,$229.69,$246.65,$227.38
09/27/2022,$224.36,7762223,$228.63,$230.64,$220.72
09/26/2022,$224.07,8234285,$225.6,$232.7,$223.01
09/23/2022,$226.41,11207230,$235.14,$236.4499,$221.43
09/22/2022,$237.05,10017970,$235.35,$240.5,$231.66
09/21/2022,$236.87,9166772,$242.67,$248.2999,$236.68
09/20/2022,$242.85,16037430,$240.37,$250.49,$239.66
09/19/2022,$243.63,17912370,$245.05,$245.25,$235.75
09/16/2022,$240.13,18914180,$231.22,$241.355,$227.83
09/15/2022,$235.38,19454120,$230.47,$242.2871,$229.1
09/14/2022,$224.12,8230340,$219.82,$228,$215.8
09/13/2022,$218.13,8000128,$226.5,$227.69,$217.72
09/12/2022,$236.53,6047425,$233.61,$239.49,$233.37
09/09/2022,$233.57,6702060,$229.62,$234.7799,$229.62
09/08/2022,$227.44,6737436,$224.16,$228.735,$221.3
09/07/2022,$228.96,8149329,$220.21,$229.33,$218.2681
09/06/2022,$218.39,7469016,$225.59,$226.85,$214.69
09/02/2022,$226.11,8164883,$231.03,$233.8814,$225.04
09/01/2022,$230.04,7292917,$220.72,$230.37,$219.47
08/31/2022,$223.56,8615906,$227,$233.8787,$223.43
08/30/2022,$220.65,5740434,$226.66,$229.79,$218.74
08/29/2022,$224.57,7109397,$221.93,$229.87,$221.52
08/26/2022,$223.28,5349848,$233.625,$236.95,$223.15
08/25/2022,$233.98,3766867,$230.24,$234.16,$229
08/24/2022,$229.61,5426316,$225.66,$234.1,$223.94
08/23/2022,$224.55,5276945,$226.46,$229.9,$224.3
08/22/2022,$226.54,8630094,$232.55,$233.475,$224.59
08/19/2022,$241.16,7504707,$240.95,$243.29,$235.68
08/18/2022,$245.17,5280387,$241.96,$246.4794,$239.2801
08/17/2022,$241.15,5627224,$241.18,$244.24,$237.56
08/16/2022,$245.69,5136806,$247.16,$249.29,$244.03
08/15/2022,$249.11,6527391,$248.11,$251.99,$247.51
